,Year,Value
0,1960,59184116488.9977
1,1961,49557050182.9631
2,1962,46685178504.3274
3,1963,50097303271.0232
4,1964,59062254890.1871
5,1965,69709153115.3147
6,1966,75879434776.1831
7,1967,72057028559.6741
8,1968,69993497892.3132
9,1969,78718820477.9257
10,1970,91506211306.3745
11,1971,98562023844.1813
12,1972,112159813640.37599
13,1973,136769878359.66801
14,1974,142254742077.706
15,1975,161162492226.686
16,1976,151627687364.405
17,1977,172349014326.931
18,1978,148382111520.192
19,1979,176856525405.72897
20,1980,189649992463.987
21,1981,194369049090.197
22,1982,203549627211.60602
23,1983,228950200773.115
24,1984,258082147252.256
25,1985,307479585852.339
26,1986,298805792971.544
27,1987,271349773463.863
28,1988,310722213686.031
29,1989,345957485871.286
30,1990,358973230048.399
31,1991,381454703832.753
32,1992,424934065934.06604
33,1993,442874596387.11896
34,1994,562261129868.7739
35,1995,732032045217.766
36,1996,860844098049.121
37,1997,958159424835.34
38,1998,1025276902078.73
39,1999,1089447108705.89
40,2000,1205260678391.96
41,2001,1332234719889.82
42,2002,1461906487857.92
43,2003,1649928718134.59
44,2004,1941745602165.09
45,2005,2268598904116.28
46,2006,2729784031906.09
47,2007,3523094314820.9
48,2008,4558431073438.2
49,2009,5059419738267.41
50,2010,6039658508485.59
51,2011,7492432097810.11
52,2012,8461623162714.07
53,2013,9490602600148.49
54,2014,10354831729340.4
